,F
2690,1
2691,2
2692,1
2693,1
2694,1
2695,2
2696,1
2697,1
2698,1
2699,2
2700,1
2701,2
2702,1
2703,2
2704,1
2705,1
2706,2
2707,1
2708,1
2709,1
2710,4
2711,2
2712,1
2713,1
2714,2
2715,1
2716,1
2717,2
2718,1
2719,1
2720,1
2721,1
2722,2
2723,2
2724,1
2725,1
2726,1
2727,1
2728,1
2729,1
2730,1
2731,1
2732,1
2733,1
2734,1
2735,1
2736,3
2737,1
2738,1
2739,1
2740,1
2741,1
2742,1
2743,1
2744,1
2745,1
2746,1
2747,1
2748,1
2749,2
2750,1
2751,2
2752,1
2753,1
2754,1
2755,2
2756,2
2757,1
2758,1
2759,1
2760,2
2761,1
2762,2
2763,1
2764,2
2765,1
2766,2
2767,1
2768,1
2769,1
2770,1
2771,1
2772,2
2773,4
2774,1
2775,1
2776,5
2777,1
2778,3
2779,2
2780,1
2781,2
2782,1
2783,1
2784,1
2785,2
2786,1
2787,4
2788,2
2789,1
2790,1
2791,1
2792,1
2793,1
2794,1
2795,1
2796,2
2797,1
2798,2
2799,1
2800,2
2801,1
2802,1
2803,1
2804,3
2805,1
2806,1
2807,1
2808,1
2809,3
2810,1
2811,1
2812,1
2813,1
2814,1
2815,1
2816,1
2817,3
2818,2
2819,1
2820,1
2821,2
2822,1
2823,2
2824,1
2825,2
2826,1
2827,1
2828,1
2829,1
2830,1
2831,1
2832,2
2833,1
2834,1
2835,1
2836,1
2837,2
2838,4
2839,2
2840,1
2841,1
2842,1
2843,1
2844,2
2845,1
2846,1
2847,2
2848,1
2849,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2858,2
2859,5
2860,1
2861,1
2862,1
2863,2
2864,2
2865,1
2866,1
2867,2
2868,1
2869,2
2870,1
2871,2
2872,1
2873,1
2874,1
2875,1
2876,1
2877,3
2878,1
2879,2
2880,1
2881,1
2882,2
2883,4
2884,1
2885,1
2886,1
2887,1
2888,1
2889,2
2890,1
2891,1
2892,1
2893,1
2894,1
2895,1
2896,2
2897,1
2898,1
2899,1
2900,1
2901,2
2902,1
2903,1
2904,1
2905,1
2906,1
2907,2
2908,1
2909,2
2910,1
2911,1
2912,2
2913,1
2914,1
2915,1
2916,1
2917,1
2918,1
2919,1
2920,1
2921,1
2922,1
2923,2
2924,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,1
2933,1
2934,1
2935,2
2936,1
2937,1
2938,1
2939,1
2940,1
2941,2
2942,1
2943,5
2944,1
2945,1
2946,1
2947,3
2948,1
2949,1
2950,1
2951,2
2952,1
2953,1
2954,1
2955,1
2956,1
2957,1
2958,2
2959,3
2960,1
2961,1
2962,2
2963,1
2964,1
2965,1
2966,1
2967,1
2968,4
2969,1
2970,1
2971,1
2972,1
2973,1
2974,1
2975,3
2976,1
2977,3
2978,1
2979,2
2980,1
2981,1
2982,1
2983,1
2984,1
2985,1
2986,1
2987,1
2988,1
2989,1
2990,1
2991,1
2992,1
2993,1
2994,1
2995,1
